name,desc,image,PartyName,memberType,province_name,zone_number
วุฒิชัย กิตติธเนศวร,ส.ส. เขต (นครนายก เขต 1),http://202.6.26.16/images/candidate/thumb/26/1/e4cac2b9-f2e0-4e4c-a9b0-faed01c9fd47.jpg,เพื่อไทย,zone,นครนายก,1
วิเชียร บุญระชัยสวรรค์,ส.ส. เขต (แม่ฮ่องสอน เขต 1),http://202.6.26.16/images/candidate/thumb/58/1/f41bcc18-e01a-4684-bd08-5dfff229eee9.jpg,เพื่อไทย,zone,แม่ฮ่องสอน,1
ประกอบ แสงจันทร์,ส.ส. เขต (สมุทรสงคราม เขต 1),http://202.6.26.16/images/candidate/thumb/75/1/14ecbbcd-dfcc-4d6c-8a7b-422b5e7bab6b.jpg,เพื่อไทย,zone,สมุทรสงคราม,1
สุรสาล ผาสุข,ส.ส. เขต (สิงห์บุรี เขต 1),http://202.6.26.16/images/candidate/thumb/17/1/c298d9dc-9494-4397-85ea-d763a8911664.jpg,เพื่อไทย,zone,สิงห์บุรี,1
ประจวบ เปาอินทร์,ส.ส. เขต (อ่างทอง เขต 1),http://202.6.26.16/images/candidate/thumb/15/1/18fee2c8-ecc1-4d8a-a249-9d6acc403157.jpg,เพื่อไทย,zone,อ่างทอง,1
อัศวโรจน์ เถาว์กลอย กูจิ,ส.ส. เขต (กระบี่ เขต 2),http://202.6.26.16/images/candidate/thumb/81/2/b91ace6e-cfb5-45bc-a52a-702388dd1749.jpg,เพื่อไทย,zone,กระบี่,2
พรหมมิน สีตบุตร,ส.ส. เขต (ชัยนาท เขต 1),http://202.6.26.16/images/candidate/thumb/18/1/adf51e63-bc02-461e-9e2b-998e46223f35.jpg,เพื่อไทย,zone,ชัยนาท,1
เชิดพงศ์ ราชป้องขันธ์,ส.ส. เขต (บึงกาฬ เขต 1),http://202.6.26.16/images/candidate/thumb/38/1/fa23cc18-03d5-4f23-b5d0-876eb6c27566.jpg,เพื่อไทย,zone,บึงกาฬ,1
ไตรรงค์ ติธรรม,ส.ส. เขต (บึงกาฬ เขต 2),http://202.6.26.16/images/candidate/thumb/38/2/be9ab437-b2e8-42fc-b09b-591335d6f9dd.jpg,เพื่อไทย,zone,บึงกาฬ,2
สนธยา หลาวหล้าง,ส.ส. เขต (ภูเก็ต เขต 2),http://202.6.26.16/images/candidate/thumb/83/2/7fea0794-84b2-400a-8b9f-e0a65da16d9d.jpg,เพื่อไทย,zone,ภูเก็ต,2
