name,desc,image,PartyName,memberType,province_name,zone_number
ศิรินันท์ เทศโมลี,ส.ส. เขต (บึงกาฬ เขต 1),http://202.6.26.16/images/candidate/thumb/38/1/ebb62ca2-7f2f-4cec-aad6-29b7c1346b7e.jpg,เพื่อไทยพัฒนา,zone,บึงกาฬ,1
ดนิตา ชาตานันท์,ส.ส. เขต (บึงกาฬ เขต 2),http://202.6.26.16/images/candidate/thumb/38/2/a8fe67f8-aba1-4188-b19f-2bf04fb98da9.jpg,เพื่อไทยพัฒนา,zone,บึงกาฬ,2
สุจิตต์ เถาว์พันธ์,ส.ส. เขต (หนองคาย เขต 1),http://202.6.26.16/images/candidate/thumb/43/1/71f99568-b81a-4b8a-bf21-f53ae967e917.jpg,เพื่อไทยพัฒนา,zone,หนองคาย,1
นิกร เข็มพรมมา,ส.ส. เขต (หนองคาย เขต 2),http://202.6.26.16/images/candidate/thumb/43/2/bb5509d7-fd33-4cdf-b57e-1610d3191098.jpg,เพื่อไทยพัฒนา,zone,หนองคาย,2
สมพงษ์ พรหมกลาง,ส.ส. เขต (หนองคาย เขต 3),http://202.6.26.16/images/candidate/thumb/43/3/44b9fb9f-042a-4db8-a94e-37783fbf9cc6.jpg,เพื่อไทยพัฒนา,zone,หนองคาย,3
สังวาลย์ ชัยแสง,ส.ส. เขต (หนองบัวลำภู เขต 1),http://202.6.26.16/images/candidate/thumb/39/1/445e4794-a852-446c-8167-1523e9d47c73.jpg,เพื่อไทยพัฒนา,zone,หนองบัวลำภู,1
เดชา บุติกา,ส.ส. เขต (หนองบัวลำภู เขต 2),http://202.6.26.16/images/candidate/thumb/39/2/aa5a2569-10a1-4dec-976f-3f74707424b8.jpg,เพื่อไทยพัฒนา,zone,หนองบัวลำภู,2
พวง อุ่นใจ,ส.ส. เขต (หนองบัวลำภู เขต 3),http://202.6.26.16/images/candidate/thumb/39/3/be834b0c-12f7-49ed-bcb1-f446576ff3cc.jpg,เพื่อไทยพัฒนา,zone,หนองบัวลำภู,3
มยุรา สุวิชา,ส.ส. เขต (มหาสารคาม เขต 1),http://202.6.26.16/images/candidate/thumb/44/1/13c8b3b6-5121-496c-b670-ebd24b567a26.jpg,เพื่อไทยพัฒนา,zone,มหาสารคาม,1
องอาจ ศรีสัตย์,ส.ส. เขต (มหาสารคาม เขต 2),http://202.6.26.16/images/candidate/thumb/44/2/32ae7d85-b787-4c6d-b0bc-a3c76ca16c8b.jpg,เพื่อไทยพัฒนา,zone,มหาสารคาม,2
เชี่ยวชาญ ตีชา,ส.ส. เขต (มหาสารคาม เขต 3),http://202.6.26.16/images/candidate/thumb/44/3/1ef9f56b-8d0b-4828-a90c-493ab64f5f38.jpg,เพื่อไทยพัฒนา,zone,มหาสารคาม,3
ไกรทอง พุทธสกุล,ส.ส. เขต (สกลนคร เขต 6),http://202.6.26.16/images/candidate/thumb/47/6/5e68278d-b7b6-437f-8001-a836a6f92582.jpg,เพื่อไทยพัฒนา,zone,สกลนคร,6
รุ่งนิรัญ มุมอภัย,ส.ส. เขต (อุดรธานี เขต 1),http://202.6.26.16/images/candidate/thumb/41/1/364d34d9-c650-434d-9365-e685cae1c4d2.jpg,เพื่อไทยพัฒนา,zone,อุดรธานี,1
มาลินี คำจุมพล,ส.ส. เขต (อุดรธานี เขต 2),http://202.6.26.16/images/candidate/thumb/41/2/0f0a2914-c325-4f84-b8ab-db255fb8cd9b.jpg,เพื่อไทยพัฒนา,zone,อุดรธานี,2
เข็มทอง อั้งยุทธ,ส.ส. เขต (อุดรธานี เขต 3),http://202.6.26.16/images/candidate/thumb/41/3/b543a631-df5d-4c60-aad8-514aa161f275.jpg,เพื่อไทยพัฒนา,zone,อุดรธานี,3
พรสวรรค์ ภูมิศรีแก้ว,ส.ส. เขต (อุดรธานี เขต 4),http://202.6.26.16/images/candidate/thumb/41/4/bd84e9c0-b40b-4545-a0cf-9fbdb61a849b.jpg,เพื่อไทยพัฒนา,zone,อุดรธานี,4
ปรีดาวัลย์ ฉลาดเอื้อ,ส.ส. เขต (อุดรธานี เขต 5),http://202.6.26.16/images/candidate/thumb/41/5/8285007c-5553-4e9b-ac87-b8f21f725545.jpg,เพื่อไทยพัฒนา,zone,อุดรธานี,5
