name,desc,image,PartyName,memberType,province_name,zone_number
สุภาพ นิยม,ส.ส. เขต (ตราด เขต 1),http://202.6.26.16/images/candidate/thumb/23/1/9fbd1d83-f22b-4a61-9437-429c7a56c95b.jpg,เศรษฐกิจใหม่,zone,ตราด,1
บุญเลิศ แก้วใย,ส.ส. เขต (นครนายก เขต 1),http://202.6.26.16/images/candidate/thumb/26/1/3dd8cc25-1dee-41c7-bd29-3ef251fe563a.jpg,เศรษฐกิจใหม่,zone,นครนายก,1
ประภากร สมประกอบ,ส.ส. เขต (พังงา เขต 1),http://202.6.26.16/images/candidate/thumb/82/1/bee48c56-2603-4a12-90d2-070a37b78727.jpg,เศรษฐกิจใหม่,zone,พังงา,1
อำนวย ธรรมตะถา,ส.ส. เขต (แม่ฮ่องสอน เขต 1),http://202.6.26.16/images/candidate/thumb/58/1/c62c8825-53a9-450e-9326-569a1757c642.jpg,เศรษฐกิจใหม่,zone,แม่ฮ่องสอน,1
นาวิน พยัฆยุทธิ์,ส.ส. เขต (ระนอง เขต 1),http://202.6.26.16/images/candidate/thumb/85/1/d8d7c7e3-dac6-413f-8b5b-b6576582684f.jpg,เศรษฐกิจใหม่,zone,ระนอง,1
บันดล วงศ์ระรื่น,ส.ส. เขต (สมุทรสงคราม เขต 1),http://202.6.26.16/images/candidate/thumb/75/1/dd89a3a1-27b2-4350-be13-aca7ddfeb4b4.jpg,เศรษฐกิจใหม่,zone,สมุทรสงคราม,1
ปทุมวดี เรือนดาหลวง,ส.ส. เขต (สิงห์บุรี เขต 1),http://202.6.26.16/images/candidate/thumb/17/1/e23b0332-c81e-4d05-bac2-8cea8290712e.jpg,เศรษฐกิจใหม่,zone,สิงห์บุรี,1
ณัฐจศักดิ์ กระจายศรี,ส.ส. เขต (อ่างทอง เขต 1),http://202.6.26.16/images/candidate/thumb/15/1/35e9023d-4804-4b1c-94d9-45552a13129d.jpg,เศรษฐกิจใหม่,zone,อ่างทอง,1
วรฤทัย ชัยภักดี,ส.ส. เขต (กระบี่ เขต 1),http://202.6.26.16/images/candidate/thumb/81/1/d850ca4d-d499-466c-a01c-9b76ca66bc3b.jpg,เศรษฐกิจใหม่,zone,กระบี่,1
กิตติศักดิ์ รุ่งโรจน์กิตติสิน,ส.ส. เขต (กระบี่ เขต 2),http://202.6.26.16/images/candidate/thumb/81/2/3967bd46-b02d-41f5-9db6-29dc5a53fffe.jpg,เศรษฐกิจใหม่,zone,กระบี่,2
ศุภกาญจน์ โจนส์,ส.ส. เขต (ชัยนาท เขต 1),http://202.6.26.16/images/candidate/thumb/18/1/997c4326-c53f-4696-810e-5e902228166c.jpg,เศรษฐกิจใหม่,zone,ชัยนาท,1
จักรกริช ชะเอม,ส.ส. เขต (ชัยนาท เขต 2),http://202.6.26.16/images/candidate/thumb/18/2/fc9da19d-c432-42cc-8fbf-0eff2e67be0e.jpg,เศรษฐกิจใหม่,zone,ชัยนาท,2
โยธิน บุญแก้ว,ส.ส. เขต (บึงกาฬ เขต 1),http://202.6.26.16/images/candidate/thumb/38/1/b93c5668-8299-4fd0-a3c0-c0e23fb8814e.jpg,เศรษฐกิจใหม่,zone,บึงกาฬ,1
ณรงค์ อินโพธิษา,ส.ส. เขต (บึงกาฬ เขต 2),http://202.6.26.16/images/candidate/thumb/38/2/75956117-b41f-40c7-abf2-d51c134a21e2.jpg,เศรษฐกิจใหม่,zone,บึงกาฬ,2
เนาวรัตน์ คณะนัย,ส.ส. เขต (แพร่ เขต 1),http://202.6.26.16/images/candidate/thumb/54/1/ef588875-2609-40e3-b4eb-c9edff8360bf.jpg,เศรษฐกิจใหม่,zone,แพร่,1
สิริพร กุลวงศ์,ส.ส. เขต (แพร่ เขต 2),http://202.6.26.16/images/candidate/thumb/54/2/cc43ee3b-6c5f-45e6-a0df-d2ba202955ee.jpg,เศรษฐกิจใหม่,zone,แพร่,2
ฐานิดา อะคะปัน,ส.ส. เขต (ภูเก็ต เขต 1),http://202.6.26.16/images/candidate/thumb/83/1/c68628b5-546a-472f-bfb3-4321d21cf29e.jpg,เศรษฐกิจใหม่,zone,ภูเก็ต,1
บุญยง บุรีรักษ์,ส.ส. เขต (ภูเก็ต เขต 2),http://202.6.26.16/images/candidate/thumb/83/2/205cd3ba-8ec3-49be-9530-a4ee1843d05c.jpg,เศรษฐกิจใหม่,zone,ภูเก็ต,2
สำเนียง จันทพันธ์,ส.ส. เขต (มุกดาหาร เขต 1),http://202.6.26.16/images/candidate/thumb/49/1/e1b5405a-3078-48aa-87ea-4e543c384c69.jpg,เศรษฐกิจใหม่,zone,มุกดาหาร,1
