name,desc,image,PartyName,memberType,province_name,zone_number
คมศักดิ์ ศักดิ์เพชรพลอย,ส.ส. เขต (ตราด เขต 1),http://202.6.26.16/images/candidate/thumb/23/1/b234022f-9a07-4ac8-83a0-96ec2d19baa6.jpg,เสรีรวมไทย,zone,ตราด,1
ธนภัทร พุฒซ้อน,ส.ส. เขต (นครนายก เขต 1),http://202.6.26.16/images/candidate/thumb/26/1/5f3fed6f-eb88-402c-874f-306a7048fac8.jpg,เสรีรวมไทย,zone,นครนายก,1
ชนัญ เรืองผล,ส.ส. เขต (พังงา เขต 1),http://202.6.26.16/images/candidate/thumb/82/1/36d090ad-be37-4672-8e8e-88b41635a692.jpg,เสรีรวมไทย,zone,พังงา,1
ธนนท์ สารวาท,ส.ส. เขต (แม่ฮ่องสอน เขต 1),http://202.6.26.16/images/candidate/thumb/58/1/55173a53-3e47-4c4f-a1c1-6ad5884e7a87.jpg,เสรีรวมไทย,zone,แม่ฮ่องสอน,1
ประโมทย์ เทพนุรักษ์,ส.ส. เขต (ระนอง เขต 1),http://202.6.26.16/images/candidate/thumb/85/1/c47e5fe1-ece2-4849-9515-609e6d7d6066.jpg,เสรีรวมไทย,zone,ระนอง,1
ณรงค์ เวชการ,ส.ส. เขต (สมุทรสงคราม เขต 1),http://202.6.26.16/images/candidate/thumb/75/1/95b3a22e-3507-49c1-bb52-a86bb6ed4660.jpg,เสรีรวมไทย,zone,สมุทรสงคราม,1
วันเฉลิม แสงสว่าง,ส.ส. เขต (สิงห์บุรี เขต 1),http://202.6.26.16/images/candidate/thumb/17/1/cd7a4183-656d-4a5d-ac48-1211731cfd6f.jpg,เสรีรวมไทย,zone,สิงห์บุรี,1
พณศธร อยู่ประเสริฐ,ส.ส. เขต (อ่างทอง เขต 1),http://202.6.26.16/images/candidate/thumb/15/1/c669c536-edb1-453c-9adf-ab4d1acc8984.jpg,เสรีรวมไทย,zone,อ่างทอง,1
วศิน สิริเกียรติกุล,ส.ส. เขต (กระบี่ เขต 1),http://202.6.26.16/images/candidate/thumb/81/1/7a999e4e-d5bf-43c6-a362-c8ebfdfef11d.jpg,เสรีรวมไทย,zone,กระบี่,1
สถาปนา ดวงน้ำแก้ว,ส.ส. เขต (กระบี่ เขต 2),http://202.6.26.16/images/candidate/thumb/81/2/c4ab585c-b57f-4802-9b1b-cc48a2e509bf.jpg,เสรีรวมไทย,zone,กระบี่,2
สนั่น ทองปาน,ส.ส. เขต (ชัยนาท เขต 1),http://202.6.26.16/images/candidate/thumb/18/1/f9bb35bd-f70c-4cea-887d-e401979538fb.jpg,เสรีรวมไทย,zone,ชัยนาท,1
ประเสริฐ อินทร์ทับ,ส.ส. เขต (ชัยนาท เขต 2),http://202.6.26.16/images/candidate/thumb/18/2/83aa5e25-5a3d-4538-bab1-a909a89b6cf5.jpg,เสรีรวมไทย,zone,ชัยนาท,2
กิตติพงศ์ สินจิตต์,ส.ส. เขต (บึงกาฬ เขต 1),http://202.6.26.16/images/candidate/thumb/38/1/3d538700-031e-4956-889b-fdda23fd92cd.jpg,เสรีรวมไทย,zone,บึงกาฬ,1
อารตี สีมา,ส.ส. เขต (บึงกาฬ เขต 2),http://202.6.26.16/images/candidate/thumb/38/2/d8ec3503-decb-4e69-aae7-c95cc9c4644c.jpg,เสรีรวมไทย,zone,บึงกาฬ,2
สันทัด อุตวรรณา,ส.ส. เขต (แพร่ เขต 1),http://202.6.26.16/images/candidate/thumb/54/1/fc79f537-5dbb-4585-9a4c-75fae4bc3352.jpg,เสรีรวมไทย,zone,แพร่,1
ครูเอี๊ยด อินทนรลักษณา,ส.ส. เขต (แพร่ เขต 2),http://202.6.26.16/images/candidate/thumb/54/2/53567684-d5c5-4e1a-bfd0-ef0066bea6e3.jpg,เสรีรวมไทย,zone,แพร่,2
สรนันท์ เสน่ห์,ส.ส. เขต (ภูเก็ต เขต 1),http://202.6.26.16/images/candidate/thumb/83/1/321ca473-640d-415c-af5e-c72ebfb77e68.jpg,เสรีรวมไทย,zone,ภูเก็ต,1
