name,desc
วิชญาดา บุญฤทธิ์,สส.เขต (กระบี่ เขต 1)
อริษฎ์พล เอกธนากุลพัชร,สส.เขต (กระบี่ เขต 2)
กรทักษ์ โพธิยอง,สส.เขต (ลำพูน เขต 1)
วรนุช ศิลมีสัตย์,สส.เขต (ลำพูน เขต 2)
วีระชัย โพนเยี่ยม,สส.เขต (อุตรดิตถ์ เขต 1)
พิมพ์นารา ศิวประทินพงศ์,สส.เขต (อุตรดิตถ์ เขต 2)
สมศักดิ์ วนกรกุล,สส.เขต (ตาก เขต 1)
สวัสดิ์ เสนแก้ว,สส.เขต (ตาก เขต 2)
สนิท แก้วตา,สส.เขต (ตาก เขต 3)
ปลัญช์ณกรณ์  กุลณาวงศ์ จตุรพัฒนสกุล,สส.เขต (น่าน เขต 1)
บุญส่ง ปัญญาสา,สส.เขต (น่าน เขต 2)
รัตนาพร คำหว่าง,สส.เขต (น่าน เขต 3)
ไพรจิตร โพธิ์นิยม,สส.เขต (พัทลุง เขต 1)
กอบกิจ จันทร์ขาว,สส.เขต (พัทลุง เขต 2)
ประภาศ ปานเจี้ยง,สส.เขต (พัทลุง เขต 3)
ธนกร แสนตรี,สส.เขต (เลย เขต 1)
ปรเมศวร์ สุริยวรรณ,สส.เขต (เลย เขต 2)
ธณน นิยะโมสถ,สส.เขต (เลย เขต 3)
พัฒน์ อินชูรัญ,สส.เขต (สระบุรี เขต 1)
ประสิทธิ์ เชียงตา,สส.เขต (สระบุรี เขต 2)
อ้อย มูและ,สส.เขต (ฉะเชิงเทรา เขต 1)
สุปรียา กลิ่นมาลัย,สส.เขต (ฉะเชิงเทรา เขต 2)
สุภาพร กั้วพิทักษ์,สส.เขต (ฉะเชิงเทรา เขต 3)
เอกชลิต โสภณ,สส.เขต (ฉะเชิงเทรา เขต 4)
วันชัย ฆ้องทอง,สส.เขต (ลพบุรี เขต 1)
ธีระประศานต์ ฆ้องทอง,สส.เขต (ลพบุรี เขต 2)
ประสิทธิ์ บุตรศรี,สส.เขต (ลพบุรี เขต 4)
นพรุจ วิชัยขัทคะ,สส.เขต (ลำปาง เขต 1)
เฟื่องฟ้า ภาสกานนท์,สส.เขต (ลำปาง เขต 2)
สุนันท์ ปัญจวิโรจน์,สส.เขต (ลำปาง เขต 4)
ฉัตรชัย ฉายมงคล,สส.เขต (กาฬสินธุ์ เขต 1)
อาวุธ ศรีแก้วน้ำใส,สส.เขต (กาฬสินธุ์ เขต 2)
รัชพล ยอดยศ,สส.เขต (กาฬสินธุ์ เขต 5)
วิรัต ดีวิจิตร,สส.เขต (พิษณุโลก เขต 1)
ภิญญลักษณ์ มั่นคง,สส.เขต (พิษณุโลก เขต 2)
ยุภาวดี เมืองมา,สส.เขต (พิษณุโลก เขต 3)
ธนกร พ่วงรอด,สส.เขต (พิษณุโลก เขต 4)
อมรรัตน์ เขียวขุ้ย,สส.เขต (พิษณุโลก เขต 5)
ศักรินทร์ พันสมตน,สส.เขต (เพชรบูรณ์ เขต 5)
จวรรณภรณ์ มาตย์สุรีย์,สส.เขต (มหาสารคาม เขต 1)
บุญมี รักสูงเนิน,สส.เขต (มหาสารคาม เขต 2)
ธนศร คณะวาปี,สส.เขต (มหาสารคาม เขต 3)
กฤตดนัย สิงหบุตร,สส.เขต (มหาสารคาม เขต 4)
กีรติ ถาเหง่า,สส.เขต (มหาสารคาม เขต 5)
สมพงค์ เวียงแก้ว,สส.เขต (ชัยภูมิ เขต 3)
พิมพ์นภา จรัสกาย,สส.เขต (ชัยภูมิ เขต 4)
ศักดิ์ดาวุฒิ ทันไธสง,สส.เขต (ชัยภูมิ เขต 5)
ณฐวัฒน์ ชุติภาปกรณ,สส.เขต (นครสวรรค์ เขต 1)
วิไลกัลยา ศิริกุลวิเชฐ,สส.เขต (นครสวรรค์ เขต 2)
