name,desc,image,PartyName,memberType,province_name,zone_number
โอภาส ต้ออาษา,ส.ส. เขต (แม่ฮ่องสอน เขต 1),http://202.6.26.16/images/candidate/thumb/58/1/28093ef2-d3d1-463a-8dc2-03f03d764ae2.jpg,แผ่นดินธรรม,zone,แม่ฮ่องสอน,1
สาริยบุตร สิงห์น้อย,ส.ส. เขต (อ่างทอง เขต 1),http://202.6.26.16/images/candidate/thumb/15/1/42e3f9d7-8aab-417e-b03b-844f51e8e9b5.jpg,แผ่นดินธรรม,zone,อ่างทอง,1
สนิท ไชยสน,ส.ส. เขต (กระบี่ เขต 2),http://202.6.26.16/images/candidate/thumb/81/2/8a994f75-a200-4739-9332-80911fc2f916.jpg,แผ่นดินธรรม,zone,กระบี่,2
วินัย วุ่นคง,ส.ส. เขต (ชัยนาท เขต 1),http://202.6.26.16/images/candidate/thumb/18/1/28475c7e-4f9c-4c74-8d2a-525e88669033.jpg,แผ่นดินธรรม,zone,ชัยนาท,1
ณวพงศ์ธร นิติภูวนนท์,ส.ส. เขต (ชัยนาท เขต 2),http://202.6.26.16/images/candidate/thumb/18/2/6f4ef9c8-1726-47b2-813d-5282f92a9f42.jpg,แผ่นดินธรรม,zone,ชัยนาท,2
วรรษวรรณ สุทธศรี,ส.ส. เขต (บึงกาฬ เขต 2),http://202.6.26.16/images/candidate/thumb/38/2/03ffc625-fa98-45a3-ba56-587e8f98f3b0.jpg,แผ่นดินธรรม,zone,บึงกาฬ,2
ธีรชัย พัฒนหทัย,ส.ส. เขต (ลำพูน เขต 2),http://202.6.26.16/images/candidate/thumb/51/2/04efa18b-a4df-4d83-9428-076743973e4e.jpg,แผ่นดินธรรม,zone,ลำพูน,2
อดุลย์ ศรีกิจ,ส.ส. เขต (อุทัยธานี เขต 1),http://202.6.26.16/images/candidate/thumb/61/1/d5f23694-2216-4d0c-a086-bed47f85fcdd.jpg,แผ่นดินธรรม,zone,อุทัยธานี,1
ศุภกิต มนต์อุ่น,ส.ส. เขต (ชุมพร เขต 3),http://202.6.26.16/images/candidate/thumb/86/3/337dd24d-7106-447c-a8ae-f165a069f770.jpg,แผ่นดินธรรม,zone,ชุมพร,3
วรรณฤดี นิรันเรือง,ส.ส. เขต (ตรัง เขต 2),http://202.6.26.16/images/candidate/thumb/92/2/781fb42c-bf56-462d-9550-602a8d0e111b.jpg,แผ่นดินธรรม,zone,ตรัง,2
