name,desc,image,PartyName,memberType,province_name,zone_number
ณรงค์ เพิ่มพูล,ส.ส. เขต (ฉะเชิงเทรา เขต 2),http://202.6.26.16/images/candidate/thumb/24/2/8cf0c855-7f9d-497a-8382-68902fbbf6a5.jpg,ไทยธรรม,zone,ฉะเชิงเทรา,2
วสันต์ อาแว,ส.ส. เขต (นราธิวาส เขต 1),http://202.6.26.16/images/candidate/thumb/96/1/8b9bf2b5-0777-458a-9016-292dc5bc2e0b.jpg,ไทยธรรม,zone,นราธิวาส,1
ซารีนา สะดียามู,ส.ส. เขต (นราธิวาส เขต 2),http://202.6.26.16/images/candidate/thumb/96/2/e7a4d8a9-a390-4320-8de7-29a7ee6a668a.jpg,ไทยธรรม,zone,นราธิวาส,2
มูฮำมัด เลาะหามะ,ส.ส. เขต (นราธิวาส เขต 3),http://202.6.26.16/images/candidate/thumb/96/3/e8d867e3-6b0c-40b3-a84a-e292cf734d06.jpg,ไทยธรรม,zone,นราธิวาส,3
มะดาห์รี นิมิง,ส.ส. เขต (นราธิวาส เขต 4),http://202.6.26.16/images/candidate/thumb/96/4/b055804f-bf62-4526-80e6-8efa661e8a96.jpg,ไทยธรรม,zone,นราธิวาส,4
พารีด๊ะ หมัดเจริญ,ส.ส. เขต (ปัตตานี เขต 1),http://202.6.26.16/images/candidate/thumb/94/1/d7989f63-0623-4c99-bcbf-9cbc9a279494.jpg,ไทยธรรม,zone,ปัตตานี,1
สีฮาบูดิน หะยีมะเด็ง,ส.ส. เขต (ปัตตานี เขต 2),http://202.6.26.16/images/candidate/thumb/94/2/0102206c-2104-4fcf-a4fe-57c942ac3a44.jpg,ไทยธรรม,zone,ปัตตานี,2
มะสุกรี สาเมาะ,ส.ส. เขต (ปัตตานี เขต 3),http://202.6.26.16/images/candidate/thumb/94/3/1a22f0ea-feb6-4b34-97b4-76b612712954.jpg,ไทยธรรม,zone,ปัตตานี,3
สูรียา ฮามะ,ส.ส. เขต (ปัตตานี เขต 4),http://202.6.26.16/images/candidate/thumb/94/4/9089d425-1bec-424a-af38-9f169fec8047.jpg,ไทยธรรม,zone,ปัตตานี,4
สุทธินันท์ วัตระดี,ส.ส. เขต (พระนครศรีอยุธยา เขต 1),http://202.6.26.16/images/candidate/thumb/14/1/806bbec2-bc72-4865-8c2e-a6393b69a412.jpg,ไทยธรรม,zone,พระนครศรีอยุธยา,1
พูนศักดิ์ โสภาคะยัง,ส.ส. เขต (กาฬสินธุ์ เขต 5),http://202.6.26.16/images/candidate/thumb/46/5/26cea001-af85-4638-b93c-230e66b4e00a.jpg,ไทยธรรม,zone,กาฬสินธุ์,5
มาลินี ชูสกุล,ส.ส. เขต (ชัยภูมิ เขต 1),http://202.6.26.16/images/candidate/thumb/36/1/0695b72a-33e1-447d-8703-f65e64a11af2.jpg,ไทยธรรม,zone,ชัยภูมิ,1
ดาวเรือง ยอดวงศ์,ส.ส. เขต (ชัยภูมิ เขต 2),http://202.6.26.16/images/candidate/thumb/36/2/9eb5392c-5676-49c2-8509-aaabeba54fb1.jpg,ไทยธรรม,zone,ชัยภูมิ,2
เพ็ญทิพย์ ศิริสุวรรณ,ส.ส. เขต (ชัยภูมิ เขต 3),http://202.6.26.16/images/candidate/thumb/36/3/796d97d2-599c-40b3-bddd-80e3b3f12b51.jpg,ไทยธรรม,zone,ชัยภูมิ,3
สุเนตร์ หิรัญเกิด,ส.ส. เขต (ชัยภูมิ เขต 4),http://202.6.26.16/images/candidate/thumb/36/4/420ff3f7-718a-4956-bba2-790870e69287.jpg,ไทยธรรม,zone,ชัยภูมิ,4
ชาติภูมิ ทวีสัตย์,ส.ส. เขต (ชัยภูมิ เขต 5),http://202.6.26.16/images/candidate/thumb/36/5/a5620d57-da2f-4e18-8991-97fd46527775.jpg,ไทยธรรม,zone,ชัยภูมิ,5
ไพวรรณ์ ตันวิเศษ,ส.ส. เขต (ชัยภูมิ เขต 6),http://202.6.26.16/images/candidate/thumb/36/6/ba46a6e4-41ab-4926-9465-6c2514d79693.jpg,ไทยธรรม,zone,ชัยภูมิ,6
ภูธเนศ โพธิประสิทธิ์,ส.ส. เขต (ร้อยเอ็ด เขต 1),http://202.6.26.16/images/candidate/thumb/45/1/9fdf75b0-f5f0-4f1a-9313-9a7bfb177650.jpg,ไทยธรรม,zone,ร้อยเอ็ด,1
สุดารัตน์ วรรณพัฒน์,ส.ส. เขต (ร้อยเอ็ด เขต 2),http://202.6.26.16/images/candidate/thumb/45/2/a193244d-f68a-477b-a9bc-e9e226321251.jpg,ไทยธรรม,zone,ร้อยเอ็ด,2
