name,desc
ทินวัฒน์ เจียมอุย,สส.เขต (ตราด เขต 1)
เจษฎา โกลิบุตร,สส.เขต (พังงา เขต 1)
รังสรรค์ ศิริรังษี,สส.เขต (ระนอง เขต 1)
ธนวุฒิ โมทย์วารีศรี,สส.เขต (สมุทรสงคราม เขต 1)
สมพร จันทร์อ่อน,สส.เขต (กระบี่ เขต 1)
สุริยา บุญทอง,สส.เขต (กระบี่ เขต 2)
สมชาย สิทธิบรวงษ์,สส.เขต (ชัยนาท เขต 1)
ชัยวัฒน์ ทรัพย์รวงทอง,สส.เขต (ชัยนาท เขต 2)
ทศพร เสรีรักษ์,สส.เขต (แพร่ เขต 1)
วรวัจน์ เอื้ออภิญญกุล,สส.เขต (แพร่ เขต 2)
ชลสิทธิ แก้วยะรัตน์,สส.เขต (ภูเก็ต เขต 1)
หัสรณ อาวัชนาการกุล,สส.เขต (ภูเก็ต เขต 2)
ปัญญา ศรีโยหะ,สส.เขต (มุกดาหาร เขต 1)
อสิ มะหะมัดยังกี,สส.เขต (สตูล เขต 1)
ไพศาล หลีเส็น,สส.เขต (สตูล เขต 2)
ธนพล บุญมาลี,สส.เขต (อำนาจเจริญ เขต 2)
เดชา คงคา,สส.เขต (อุทัยธานี เขต 1)
สุภาพ โต๋วสัจจา,สส.เขต (อุทัยธานี เขต 2)
จิรชัย เขาหนองบัว,สส.เขต (จันทบุรี เขต 1)
มานะ ชนะสิทธิ์,สส.เขต (จันทบุรี เขต 2)
เกรียงเดช เข็มทอง,สส.เขต (จันทบุรี เขต 3)
ทนายเสือธนพล สุขปาน,สส.เขต (ชุมพร เขต 1)
อำนาจ อินทนา,สส.เขต (ชุมพร เขต 2)
อนุวัฒน์ ฮวดศิริ,สส.เขต (ชุมพร เขต 3)
รัตน์ ภู่กลาง,สส.เขต (ตรัง เขต 1)
คมสรร ต้องหุ้ย,สส.เขต (ตรัง เขต 2)
นิรุตติ์ รอดริน,สส.เขต (ตรัง เขต 3)
ชัยยุทธ แสงนุช,สส.เขต (ตาก เขต 1)
วราทิต ไชยนันทน์,สส.เขต (ตาก เขต 2)
ศิริกุล อนุตรพงศ์,สส.เขต (ตาก เขต 3)
อภิวัฒน์ กำบัง,สส.เขต (ประจวบคีรีขันธ์ เขต 3)
สรวีย์ ศุภปณิตา,สส.เขต (ปราจีนบุรี เขต 2)
ไพรัช ขวัญศรี,สส.เขต (พัทลุง เขต 1)
อธิคม ขุนแก้ว,สส.เขต (พัทลุง เขต 2)
ชมพล ขุนอักษร,สส.เขต (พัทลุง เขต 3)
วินัย ภัทรประสิทธิ์,สส.เขต (พิจิตร เขต 1)
ปุณยวัจน์ เหลืองวิจิตร,สส.เขต (พิจิตร เขต 2)
มิ่งขวัญ พุกเปี่ยม,สส.เขต (พิจิตร เขต 3)
สังเวียน โตสุวรรณ์,สส.เขต (เพชรบุรี เขต 1)
วันชนะ เกิดดีชะเอมน้อย,สส.เขต (เพชรบุรี เขต 2)
ภาณุมาศ อังกินันทน์,สส.เขต (เพชรบุรี เขต 3)
ยูซุฟ อับดุรรอฮีม,สส.เขต (ยะลา เขต 1)
กอเซ็ง จิงดารา,สส.เขต (ยะลา เขต 2)
แวหะมะ แวและ,สส.เขต (ยะลา เขต 3)
อัจฉรา สรวารี,สส.เขต (สมุทรสาคร เขต 1)
พลภวัฒน์ ชำนาญวาด,สส.เขต (สมุทรสาคร เขต 2)
เอกอมตะอุทรฑ์ เกฐสิทธิ์,สส.เขต (หนองคาย เขต 1)
ธนาคช มาป้อง,สส.เขต (หนองคาย เขต 3)
ศึกษา นาสมยนต์,สส.เขต (หนองบัวลำภู เขต 3)
ธานันท์ หล่าวเจริญ,สส.เขต (กำแพงเพชร เขต 4)
ฐิติมา ฉายแสง,สส.เขต (ฉะเชิงเทรา เขต 1)
เปี่ยมโกมล โสภณคุณพินิจ,สส.เขต (ฉะเชิงเทรา เขต 2)
อดุลย์ แสงจันทร์,สส.เขต (ฉะเชิงเทรา เขต 3)
วุฒิพงศ์ ฉายแสง,สส.เขต (ฉะเชิงเทรา เขต 4)
ชณะ ชาดา,สส.เขต (นครพนม เขต 2)
วิวัฒน์ชัย คงเพชร,สส.เขต (นครพนม เขต 3)
ฉลอง เชื้อดวงผูย,สส.เขต (นครพนม เขต 4)
สหรัฐ มุณีรัตน์,สส.เขต (นราธิวาส เขต 1)
สมพร จันทร์ชู,สส.เขต (นราธิวาส เขต 2)
เจ๊ะมะรูดิง เจ๊ะโซ๊ะ,สส.เขต (ปัตตานี เขต 1)
อับดุลเลาะ สะนิดอเลาะ,สส.เขต (ปัตตานี เขต 2)
มูฮัมมัดนัสรี เงาะ,สส.เขต (ปัตตานี เขต 3)
