name,desc,image,PartyName,memberType,province_name,zone_number
ทินวัฒน์ เจียมอุย,ส.ส. เขต (ตราด เขต 1),http://202.6.26.16/images/candidate/thumb/23/1/985bd88b-c068-409c-a47f-742c8e003e01.jpg,ไทยรักษาชาติ,zone,ตราด,1
เจษฎา โกลิบุตร,ส.ส. เขต (พังงา เขต 1),http://202.6.26.16/images/candidate/thumb/82/1/ed73a17e-0003-448f-8802-e392ae0fccf9.jpg,ไทยรักษาชาติ,zone,พังงา,1
รังสรรค์ ศิริรังษี,ส.ส. เขต (ระนอง เขต 1),http://202.6.26.16/images/candidate/thumb/85/1/a476d84e-6435-47ed-a0eb-7861df67ec6e.jpg,ไทยรักษาชาติ,zone,ระนอง,1
ธนวุฒิ โมทย์วารีศรี,ส.ส. เขต (สมุทรสงคราม เขต 1),http://202.6.26.16/images/candidate/thumb/75/1/eee5460e-81ea-4733-8be1-b141223fb777.jpg,ไทยรักษาชาติ,zone,สมุทรสงคราม,1
สมพร จันทร์อ่อน,ส.ส. เขต (กระบี่ เขต 1),http://202.6.26.16/images/candidate/thumb/81/1/19e16464-e823-4f3f-bd3d-b182929b483d.jpg,ไทยรักษาชาติ,zone,กระบี่,1
สุริยา บุญทอง,ส.ส. เขต (กระบี่ เขต 2),http://202.6.26.16/images/candidate/thumb/81/2/721a8183-02f2-4d0b-aac8-6af8b37fe668.jpg,ไทยรักษาชาติ,zone,กระบี่,2
สมชาย สิทธิบรวงษ์,ส.ส. เขต (ชัยนาท เขต 1),http://202.6.26.16/images/candidate/thumb/18/1/fc7e3c09-9d20-4db7-9295-0d9820d4d909.jpg,ไทยรักษาชาติ,zone,ชัยนาท,1
ชัยวัฒน์ ทรัพย์รวงทอง,ส.ส. เขต (ชัยนาท เขต 2),http://202.6.26.16/images/candidate/thumb/18/2/b8df77e7-00e5-42aa-bce9-812a98d5ddb9.jpg,ไทยรักษาชาติ,zone,ชัยนาท,2
ทศพร เสรีรักษ์,ส.ส. เขต (แพร่ เขต 1),http://202.6.26.16/images/candidate/thumb/54/1/e42d21f2-c1e1-4082-bcb8-af9241a13258.jpg,ไทยรักษาชาติ,zone,แพร่,1
วรวัจน์ เอื้ออภิญญกุล,ส.ส. เขต (แพร่ เขต 2),http://202.6.26.16/images/candidate/thumb/54/2/041eedc9-ec23-4a65-afbc-f07cb311cc34.jpg,ไทยรักษาชาติ,zone,แพร่,2
ชลสิทธิ แก้วยะรัตน์,ส.ส. เขต (ภูเก็ต เขต 1),http://202.6.26.16/images/candidate/thumb/83/1/7e0bfabf-f118-4971-a95b-cd8e5fccadbe.jpg,ไทยรักษาชาติ,zone,ภูเก็ต,1
หัสรณ อาวัชนาการกุล,ส.ส. เขต (ภูเก็ต เขต 2),http://202.6.26.16/images/candidate/thumb/83/2/a9c67f16-debe-4cdd-b481-02ec2d31b45d.jpg,ไทยรักษาชาติ,zone,ภูเก็ต,2
