name,desc,image,PartyName,memberType,province_name,zone_number
หทัยชนก เจริญรัตน์,ส.ส. เขต (สมุทรสาคร เขต 1),http://202.6.26.16/images/candidate/thumb/74/1/7f35746d-bb1a-4fbd-940a-538ae5cb4a4d.jpg,ไทยรุ่งเรือง,zone,สมุทรสาคร,1
มรกต เจริญรัตน์,ส.ส. เขต (สมุทรสาคร เขต 2),http://202.6.26.16/images/candidate/thumb/74/2/17354750-fac0-41be-a776-36ad195c9b8a.jpg,ไทยรุ่งเรือง,zone,สมุทรสาคร,2
เมธี ปิ่นทอง,ส.ส. เขต (สมุทรสาคร เขต 3),http://202.6.26.16/images/candidate/thumb/74/3/77861c48-120c-4377-b953-694af24ecfc8.jpg,ไทยรุ่งเรือง,zone,สมุทรสาคร,3
สายใจ อริยะดิบ,ส.ส. เขต (ลำปาง เขต 4),http://202.6.26.16/images/candidate/thumb/52/4/9496b23a-d84c-4c12-a11c-3adfdeb906d6.jpg,ไทยรุ่งเรือง,zone,ลำปาง,4
นาฎอนงค์ โคกคำ,ส.ส. เขต (กาญจนบุรี เขต 1),http://202.6.26.16/images/candidate/thumb/71/1/c7dd2ca7-90ce-4411-9069-91992c1c3669.jpg,ไทยรุ่งเรือง,zone,กาญจนบุรี,1
ลูกเจี๊ยบ ศรีเหรา,ส.ส. เขต (กาญจนบุรี เขต 2),http://202.6.26.16/images/candidate/thumb/71/2/6546098c-fd4a-42ad-a2e1-c7d9efd06475.jpg,ไทยรุ่งเรือง,zone,กาญจนบุรี,2
มานนท์ พุ่มพวง,ส.ส. เขต (กาญจนบุรี เขต 3),http://202.6.26.16/images/candidate/thumb/71/3/4e7b89dd-3b5f-428b-93d4-d9274cbc6ae4.jpg,ไทยรุ่งเรือง,zone,กาญจนบุรี,3
เช้ง โคกคำ,ส.ส. เขต (กาญจนบุรี เขต 4),http://202.6.26.16/images/candidate/thumb/71/4/5a14b12e-d63f-4b83-8b48-f1db12b5957d.jpg,ไทยรุ่งเรือง,zone,กาญจนบุรี,4
นิล เชื้อทอง,ส.ส. เขต (กาญจนบุรี เขต 5),http://202.6.26.16/images/candidate/thumb/71/5/9cd3e4bf-22d0-41b0-ad07-0a8364ac55e7.jpg,ไทยรุ่งเรือง,zone,กาญจนบุรี,5
ปัญญา มากลัด,ส.ส. เขต (นครปฐม เขต 1),http://202.6.26.16/images/candidate/thumb/73/1/c4958a58-c8fb-455d-8a8e-3ef57b8bc4fb.jpg,ไทยรุ่งเรือง,zone,นครปฐม,1
ปพน มากลัด,ส.ส. เขต (นครปฐม เขต 2),http://202.6.26.16/images/candidate/thumb/73/2/e4318d22-c719-4349-8f01-3e91a972bcc5.jpg,ไทยรุ่งเรือง,zone,นครปฐม,2
กรรณิกา ไกรโรจน์,ส.ส. เขต (นครปฐม เขต 3),http://202.6.26.16/images/candidate/thumb/73/3/b7a09d57-a392-44ed-9ae5-384031f95a77.jpg,ไทยรุ่งเรือง,zone,นครปฐม,3
โสภณ ปภัสสรานนท์,ส.ส. เขต (ราชบุรี เขต 1),http://202.6.26.16/images/candidate/thumb/70/1/599db744-926a-4eaf-a66c-18c36d71e223.jpg,ไทยรุ่งเรือง,zone,ราชบุรี,1
บุญดี ทำสะอาด,ส.ส. เขต (ราชบุรี เขต 2),http://202.6.26.16/images/candidate/thumb/70/2/b580eb50-f8ad-4934-ada0-e5af7160abdb.jpg,ไทยรุ่งเรือง,zone,ราชบุรี,2
ละออ ทำสะอาด,ส.ส. เขต (ราชบุรี เขต 3),http://202.6.26.16/images/candidate/thumb/70/3/faba713c-8489-4467-a999-805137114eaa.jpg,ไทยรุ่งเรือง,zone,ราชบุรี,3
พุทธชาติ มากลัด,ส.ส. เขต (ราชบุรี เขต 4),http://202.6.26.16/images/candidate/thumb/70/4/d25b3ccd-9ba1-4db7-8e0a-48a77b501431.jpg,ไทยรุ่งเรือง,zone,ราชบุรี,4
ชูเกียรติ แดงประสิทธิพร,ส.ส. เขต (ราชบุรี เขต 5),http://202.6.26.16/images/candidate/thumb/70/5/80479b9e-0788-4ab2-b5bb-94e59a4c33f6.jpg,ไทยรุ่งเรือง,zone,ราชบุรี,5
เปล่งศักดิ์ ชาระ,ส.ส. เขต (ชลบุรี เขต 1),http://202.6.26.16/images/candidate/thumb/20/1/100c5602-7a69-4c4d-ae58-4c49b21db7c5.jpg,ไทยรุ่งเรือง,zone,ชลบุรี,1
พรชัย การศัพท์,ส.ส. เขต (ชลบุรี เขต 2),http://202.6.26.16/images/candidate/thumb/20/2/b1aafc66-b08f-4542-875e-f137edeea14c.jpg,ไทยรุ่งเรือง,zone,ชลบุรี,2
ลาวัลย์ ยั่งยืน,ส.ส. เขต (ชลบุรี เขต 3),http://202.6.26.16/images/candidate/thumb/20/3/7412b64b-9d18-4b60-b320-6b728bc13e28.jpg,ไทยรุ่งเรือง,zone,ชลบุรี,3
เกล้ากมล เรืองรัศมีโรจน์,ส.ส. เขต (ชลบุรี เขต 4),http://202.6.26.16/images/candidate/thumb/20/4/24fffa9d-4449-4a27-9ed5-990d05cec355.jpg,ไทยรุ่งเรือง,zone,ชลบุรี,4
สำลี รื่นอายุ,ส.ส. เขต (ชลบุรี เขต 5),http://202.6.26.16/images/candidate/thumb/20/5/c7f1afda-ba77-4baf-87c8-b8066588999c.jpg,ไทยรุ่งเรือง,zone,ชลบุรี,5
ภิญญาพัชญ์ คเนจร ณ อยุธยา,ส.ส. เขต (ชลบุรี เขต 6),http://202.6.26.16/images/candidate/thumb/20/6/e0518bf3-360b-4c37-a462-d12f1f13a2fb.jpg,ไทยรุ่งเรือง,zone,ชลบุรี,6
อำนาจ แจ่มจันทร์,ส.ส. เขต (ชลบุรี เขต 7),http://202.6.26.16/images/candidate/thumb/20/7/d10ef076-d69b-468b-a72a-a015ad7a1279.jpg,ไทยรุ่งเรือง,zone,ชลบุรี,7
แสนไพศาล บูลย์พัชร,ส.ส. เขต (ชลบุรี เขต 8),http://202.6.26.16/images/candidate/thumb/20/8/884c65c5-6e12-415a-8921-c6bb91ee14fb.jpg,ไทยรุ่งเรือง,zone,ชลบุรี,8
ธีร์วศิษฐ์ บัวจันทร์,ส.ส. เขต (นครศรีธรรมราช เขต 2),http://202.6.26.16/images/candidate/thumb/80/2/b9eccd4a-668c-4e49-8281-f664ee3e8cb8.jpg,ไทยรุ่งเรือง,zone,นครศรีธรรมราช,2
จิตรกร บัวจันทร์,ส.ส. เขต (นครศรีธรรมราช เขต 3),http://202.6.26.16/images/candidate/thumb/80/3/2d4fc3e9-22b1-4c6b-89a3-fdea31554dc3.jpg,ไทยรุ่งเรือง,zone,นครศรีธรรมราช,3
ฉัตรวรุฒม์ เอกะสิริพงษ์,ส.ส. เขต (นครราชสีมา เขต 12),http://202.6.26.16/images/candidate/thumb/30/12/aaebdff4-8b19-400a-805a-8261a19d749d.jpg,ไทยรุ่งเรือง,zone,นครราชสีมา,12
ฉัตรชัย แนวพญา,ส.ส. บัญชีรายชื่อ (ลำดับที่ 1),http://202.6.26.16/images/candidate/thumb/00/83/e735412d-f126-47bc-a6e7-6f6273fd0438.jpg,ไทยรุ่งเรือง,partylist,-,-
สุชิน วิเศษโกสิน,ส.ส. บัญชีรายชื่อ (ลำดับที่ 2),http://202.6.26.16/images/candidate/thumb/00/83/e2db6d79-94eb-4afc-b4b5-b50c0abe8b2b.jpg,ไทยรุ่งเรือง,partylist,-,-
กิตติ พุทธนพ,ส.ส. บัญชีรายชื่อ (ลำดับที่ 3),http://202.6.26.16/images/candidate/thumb/00/83/a3423769-1895-4b01-b3b4-4f8ffacccdb6.jpg,ไทยรุ่งเรือง,partylist,-,-
