name,desc,image,PartyName,memberType,province_name,zone_number
กริ่ม หาญพัฒน์,ส.ส. เขต (ตราด เขต 1),http://202.6.26.16/images/candidate/thumb/23/1/6bf2442b-e780-4206-8755-388009107c30.jpg,ไทยศรีวิไลย์,zone,ตราด,1
ม่อหมาด เด่นมาลัย,ส.ส. เขต (พังงา เขต 1),http://202.6.26.16/images/candidate/thumb/82/1/1cd15fb9-6488-40d9-9638-d2a162898f6d.jpg,ไทยศรีวิไลย์,zone,พังงา,1
เทวราชฤทธิ์ ปันดี,ส.ส. เขต (แม่ฮ่องสอน เขต 1),http://202.6.26.16/images/candidate/thumb/58/1/7c28480b-d804-4907-9f89-5011f256c9d3.jpg,ไทยศรีวิไลย์,zone,แม่ฮ่องสอน,1
วันชัย คำภา,ส.ส. เขต (อ่างทอง เขต 1),http://202.6.26.16/images/candidate/thumb/15/1/4c2a2822-3c61-4fed-9473-5d832fa97796.jpg,ไทยศรีวิไลย์,zone,อ่างทอง,1
ยาซีน งามทรัพย์,ส.ส. เขต (กระบี่ เขต 1),http://202.6.26.16/images/candidate/thumb/81/1/b0aef954-a756-4121-a5cc-b31d1fb27bda.jpg,ไทยศรีวิไลย์,zone,กระบี่,1
เฉม เชื้อทะเล,ส.ส. เขต (กระบี่ เขต 2),http://202.6.26.16/images/candidate/thumb/81/2/20533670-ce60-4293-9f84-b4f0bd7c8216.jpg,ไทยศรีวิไลย์,zone,กระบี่,2
สุชาติ อัมพานนท์,ส.ส. เขต (ชัยนาท เขต 1),http://202.6.26.16/images/candidate/thumb/18/1/d6fa14a1-5a4c-4395-a708-8f5d06d3611c.jpg,ไทยศรีวิไลย์,zone,ชัยนาท,1
อุกฤษฎ์ เกตุเอม,ส.ส. เขต (ชัยนาท เขต 2),http://202.6.26.16/images/candidate/thumb/18/2/f8e1c4b8-b3e2-4746-a93c-4ac789f6d0f5.jpg,ไทยศรีวิไลย์,zone,ชัยนาท,2
บุญมี กุลวงษ์,ส.ส. เขต (บึงกาฬ เขต 1),http://202.6.26.16/images/candidate/thumb/38/1/7f9d12f8-9845-449d-8d16-51713b4e1267.jpg,ไทยศรีวิไลย์,zone,บึงกาฬ,1
สายปวีณ์ เทียนเถื่อน,ส.ส. เขต (บึงกาฬ เขต 2),http://202.6.26.16/images/candidate/thumb/38/2/89833c33-13a2-453c-9c94-5fd04d93169e.jpg,ไทยศรีวิไลย์,zone,บึงกาฬ,2
กันยกร ซาเสน,ส.ส. เขต (มุกดาหาร เขต 1),http://202.6.26.16/images/candidate/thumb/49/1/e6a4ca77-d6fa-485c-95ca-3e77815b00d2.jpg,ไทยศรีวิไลย์,zone,มุกดาหาร,1
ไพศาล คำจุลลา,ส.ส. เขต (มุกดาหาร เขต 2),http://202.6.26.16/images/candidate/thumb/49/2/9eeb5c9d-85e8-4515-9c23-d3b8eb4abbb6.jpg,ไทยศรีวิไลย์,zone,มุกดาหาร,2
ลักษมี แสงมีสี,ส.ส. เขต (ลำพูน เขต 1),http://202.6.26.16/images/candidate/thumb/51/1/d30bc1de-c136-465d-844a-d3809d82d6c7.jpg,ไทยศรีวิไลย์,zone,ลำพูน,1
กิตติ ฤทธิทิศ,ส.ส. เขต (อำนาจเจริญ เขต 1),http://202.6.26.16/images/candidate/thumb/37/1/0d141d74-da2b-4303-bfa8-26f180f7809a.jpg,ไทยศรีวิไลย์,zone,อำนาจเจริญ,1
เฉวต บัวโรย,ส.ส. เขต (อำนาจเจริญ เขต 2),http://202.6.26.16/images/candidate/thumb/37/2/9f15759f-6f6f-4c61-a1d1-97c7869432ee.jpg,ไทยศรีวิไลย์,zone,อำนาจเจริญ,2
ธวัชชัย สุภาอรรถ,ส.ส. เขต (อุตรดิตถ์ เขต 1),http://202.6.26.16/images/candidate/thumb/53/1/9f393e12-35ea-4c79-a1a1-9f57ab6534c3.jpg,ไทยศรีวิไลย์,zone,อุตรดิตถ์,1
กาญจนา ฤทธิ์เวทย์,ส.ส. เขต (อุตรดิตถ์ เขต 2),http://202.6.26.16/images/candidate/thumb/53/2/66e9eb80-ddfb-423e-be07-0782ccd68acd.jpg,ไทยศรีวิไลย์,zone,อุตรดิตถ์,2
มาโนช ตรงชื่น,ส.ส. เขต (จันทบุรี เขต 1),http://202.6.26.16/images/candidate/thumb/22/1/88b70395-ce2a-4ce5-ba1b-45efdaca749e.jpg,ไทยศรีวิไลย์,zone,จันทบุรี,1
เสกสรรค์ ทองศรี,ส.ส. เขต (จันทบุรี เขต 2),http://202.6.26.16/images/candidate/thumb/22/2/235aec31-15bd-4e1b-897f-eded7341fd7d.jpg,ไทยศรีวิไลย์,zone,จันทบุรี,2
วัลลภ นุชวงษ์,ส.ส. เขต (จันทบุรี เขต 3),http://202.6.26.16/images/candidate/thumb/22/3/ffb2e9f4-edab-4230-b622-7aebfe7cfbeb.jpg,ไทยศรีวิไลย์,zone,จันทบุรี,3
อภิโรจน์ ปิยพันธ์รัตนกุล,ส.ส. เขต (ชุมพร เขต 1),http://202.6.26.16/images/candidate/thumb/86/1/d1e3fd55-3756-4665-98dc-51911c96d91a.jpg,ไทยศรีวิไลย์,zone,ชุมพร,1
สากล พงษ์ประยูร,ส.ส. เขต (ชุมพร เขต 2),http://202.6.26.16/images/candidate/thumb/86/2/ae7c4dab-8816-48cd-b9ef-f91c2c44ac58.jpg,ไทยศรีวิไลย์,zone,ชุมพร,2
ณคณา ศรีคำเงิน,ส.ส. เขต (ชุมพร เขต 3),http://202.6.26.16/images/candidate/thumb/86/3/b449b2b7-5d67-4333-94fd-45552fd27d35.jpg,ไทยศรีวิไลย์,zone,ชุมพร,3
