name,desc,image,PartyName,memberType,province_name,zone_number
ชูเกียรติ บางขุนทด,ส.ส. เขต (ตราด เขต 1),http://202.6.26.16/images/candidate/thumb/23/1/ec0240aa-9846-4125-893c-d379157b5206.jpg,ไทรักธรรม,zone,ตราด,1
ปรารถนา หนูด้วง,ส.ส. เขต (พังงา เขต 1),http://202.6.26.16/images/candidate/thumb/82/1/c7d860df-dc3f-4bf4-86da-9fb4e78cdcf9.jpg,ไทรักธรรม,zone,พังงา,1
คำแข่ง บุญทำใจ,ส.ส. เขต (แม่ฮ่องสอน เขต 1),http://202.6.26.16/images/candidate/thumb/58/1/c6d7e3ae-d723-4267-abf4-edb77dc89ed1.jpg,ไทรักธรรม,zone,แม่ฮ่องสอน,1
ดาลี่ นายาว,ส.ส. เขต (ระนอง เขต 1),http://202.6.26.16/images/candidate/thumb/85/1/4475d512-2566-4b4d-aec1-becfd5685b6c.jpg,ไทรักธรรม,zone,ระนอง,1
อดิศักดิ์ คุ้มแสง,ส.ส. เขต (สมุทรสงคราม เขต 1),http://202.6.26.16/images/candidate/thumb/75/1/4003ecc0-05ec-4457-8608-b53590fa65f8.jpg,ไทรักธรรม,zone,สมุทรสงคราม,1
รัตนพร เรื่องลือ,ส.ส. เขต (สิงห์บุรี เขต 1),http://202.6.26.16/images/candidate/thumb/17/1/701bf3ba-8175-450c-8f8c-ac73c25ad6a3.jpg,ไทรักธรรม,zone,สิงห์บุรี,1
นาตยา พรมเผือก,ส.ส. เขต (อ่างทอง เขต 1),http://202.6.26.16/images/candidate/thumb/15/1/ff8247d3-a2a7-4272-aaec-30ea1ab29885.jpg,ไทรักธรรม,zone,อ่างทอง,1
มู่หำหมัด หมักหมัน,ส.ส. เขต (กระบี่ เขต 1),http://202.6.26.16/images/candidate/thumb/81/1/7315d8b8-3882-417a-af10-52402db0010a.jpg,ไทรักธรรม,zone,กระบี่,1
ศิรินันท์ สระสม,ส.ส. เขต (กระบี่ เขต 2),http://202.6.26.16/images/candidate/thumb/81/2/201093a8-cb9a-4b36-9730-d28b6b0207a5.jpg,ไทรักธรรม,zone,กระบี่,2
เกรียงชัย บัวซาว,ส.ส. เขต (บึงกาฬ เขต 1),http://202.6.26.16/images/candidate/thumb/38/1/8ad24bdb-a023-4d8a-89b5-c953cc71adcb.jpg,ไทรักธรรม,zone,บึงกาฬ,1
บุญส่ง วีระศักดิ์,ส.ส. เขต (บึงกาฬ เขต 2),http://202.6.26.16/images/candidate/thumb/38/2/19e78ae1-42cc-407c-b4f5-46a2af03900d.jpg,ไทรักธรรม,zone,บึงกาฬ,2
กรรณิกา เตปัง,ส.ส. เขต (แพร่ เขต 1),http://202.6.26.16/images/candidate/thumb/54/1/78e90b42-f77b-4d0d-9178-7fd136eba703.jpg,ไทรักธรรม,zone,แพร่,1
ธีมาพร เอเบล,ส.ส. เขต (แพร่ เขต 2),http://202.6.26.16/images/candidate/thumb/54/2/9b870433-daad-4d9e-9c94-24dd5b65a6f8.jpg,ไทรักธรรม,zone,แพร่,2
กฤษฎา ดวงสุวรรณ์,ส.ส. เขต (ภูเก็ต เขต 1),http://202.6.26.16/images/candidate/thumb/83/1/519612df-7ace-4e4c-b369-500a38aaa93e.jpg,ไทรักธรรม,zone,ภูเก็ต,1
ธาราวิทย์ พัฒการีย์,ส.ส. เขต (ภูเก็ต เขต 2),http://202.6.26.16/images/candidate/thumb/83/2/aa2df6c0-5484-423a-83a9-95008199a5cc.jpg,ไทรักธรรม,zone,ภูเก็ต,2
ประชุม อรรคจันทร์,ส.ส. เขต (มุกดาหาร เขต 1),http://202.6.26.16/images/candidate/thumb/49/1/f660f779-f591-42a3-b694-512dc6a3b82f.jpg,ไทรักธรรม,zone,มุกดาหาร,1
ไพรัช ศัลกวิเศษ,ส.ส. เขต (มุกดาหาร เขต 2),http://202.6.26.16/images/candidate/thumb/49/2/9a393581-bd0c-4cd6-ac61-b9198459c5d2.jpg,ไทรักธรรม,zone,มุกดาหาร,2
สำรวม เหล่าพราหมณ์,ส.ส. เขต (ลำพูน เขต 1),http://202.6.26.16/images/candidate/thumb/51/1/b915821c-57a0-409b-ac8a-4edff99e3690.jpg,ไทรักธรรม,zone,ลำพูน,1
วารุณี จันทร์เป็ง,ส.ส. เขต (ลำพูน เขต 2),http://202.6.26.16/images/candidate/thumb/51/2/42d25403-1071-4c03-96bc-04870b9933b9.jpg,ไทรักธรรม,zone,ลำพูน,2
สมควร อบทอง,ส.ส. เขต (สตูล เขต 1),http://202.6.26.16/images/candidate/thumb/91/1/63ca20e9-3414-44bb-9f63-8f722a532be5.jpg,ไทรักธรรม,zone,สตูล,1
สุกัญญา อาดำ,ส.ส. เขต (สตูล เขต 2),http://202.6.26.16/images/candidate/thumb/91/2/e77e1377-1638-476b-a591-a8af1238985f.jpg,ไทรักธรรม,zone,สตูล,2
ณรงค์ ส่งเสริม,ส.ส. เขต (อำนาจเจริญ เขต 1),http://202.6.26.16/images/candidate/thumb/37/1/67e67d8d-58f4-4941-945d-e6c866e7d03d.jpg,ไทรักธรรม,zone,อำนาจเจริญ,1
สมนึก นาบ้าน,ส.ส. เขต (อำนาจเจริญ เขต 2),http://202.6.26.16/images/candidate/thumb/37/2/fd162c0b-3697-4238-a8fd-5269ec18931e.jpg,ไทรักธรรม,zone,อำนาจเจริญ,2
