,จังหวัด,จำนวนสมาชิกสภาผู้แทนราษฎร,จำนวนเขตเลือกตั้ง,ท้องที่ที่ประกอบเป็นเขตเลือกตั้ง,ลำดับที่,เขตเลือกตั้งที่,interior,exterior,subinterior
0,ตราด,1,1,ทั้งจังหวัด,1,1,,,
1,นครนายก,1,1,ทั้งจังหวัด,2,1,,,
2,พังงา,1,1,ทั้งจังหวัด,3,1,,,
3,แม่ฮ่องสอน,1,1,ทั้งจังหวัด,4,1,,,
4,ระนอง,1,1,ทั้งจังหวัด,5,1,,,
5,สมุทรสงคราม,1,1,ทั้งจังหวัด,6,1,,,
6,สิงห์บุรี,1,1,ทั้งจังหวัด,7,1,,,
7,อ่างทอง,1,1,ทั้งจังหวัด,8,1,,,
8,กระบี่,2,2,เมืองกระบี่,9,1,,,
9,กระบี่,2,2,อ่าวลึก,9,1,,,
10,กระบี่,2,2,ปลายพระยา,9,1,,,
11,กระบี่,2,2,เขาพนม,9,1,หน้าเขา,,
12,กระบี่,2,2,เขาพนม,9,1,เขาดิน,,
13,กระบี่,2,2,เหนือคลอง,9,2,,,
14,กระบี่,2,2,คลองท่อม,9,2,,,
15,กระบี่,2,2,เกาะลันตา,9,2,,,
16,กระบี่,2,2,ลำทับ,9,2,,,
17,กระบี่,2,2,เขาพนม,9,2,,หน้าเขา,
18,กระบี่,2,2,เขาพนม,9,2,,เขาดิน,
19,ชัยนาท,2,2,เมืองชัยนาท,10,1,,,
20,ชัยนาท,2,2,สรรพยา,10,1,,,
21,ชัยนาท,2,2,มโนรมย์,10,1,,,
22,ชัยนาท,2,2,วัดสิงห์,10,1,มะขามเฒ่า,,
23,ชัยนาท,2,2,วัดสิงห์,10,1,หนองน้อย,,
24,ชัยนาท,2,2,วัดสิงห์,10,1,หนองบัว,,
25,ชัยนาท,2,2,วัดสิงห์,10,1,หนองขุ่น,,
26,ชัยนาท,2,2,วัดสิงห์,10,1,เทศบาลตำบลวัดสิงห์,,
27,ชัยนาท,2,2,สรรคบุรี,10,2,,,
28,ชัยนาท,2,2,หันคา,10,2,,,
29,ชัยนาท,2,2,เนินขาม,10,2,,,
30,ชัยนาท,2,2,หนองมะโมง,10,2,,,
31,ชัยนาท,2,2,วัดสิงห์,10,2,,มะขามเฒ่า,
32,ชัยนาท,2,2,วัดสิงห์,10,2,,หนองน้อย,
33,ชัยนาท,2,2,วัดสิงห์,10,2,,หนองบัว,
34,ชัยนาท,2,2,วัดสิงห์,10,2,,หนองขุ่น,
35,ชัยนาท,2,2,วัดสิงห์,10,2,,เทศบาลตำบลวัดสิงห์,
36,บึงกาฬ,2,2,เมืองบึงกาฬ,11,1,,,
37,บึงกาฬ,2,2,โซ่พิสัย,11,1,,,
38,บึงกาฬ,2,2,ปากคาด,11,1,,,
39,บึงกาฬ,2,2,บุ่งคล้า,11,1,,,
40,บึงกาฬ,2,2,เซกา,11,2,,,
41,บึงกาฬ,2,2,พรเจริญ,11,2,,,
42,บึงกาฬ,2,2,ศรีวิไล,11,2,,,
43,บึงกาฬ,2,2,บึงโขงหลง,11,2,,,
44,แพร่,2,2,เมืองแพร่,12,1,,,
45,แพร่,2,2,สอง,12,1,,,
46,แพร่,2,2,ร้องกวาง,12,1,,,
47,แพร่,2,2,หนองม่วงไข่,12,1,,,
48,แพร่,2,2,สูงเม่น,12,2,,,
49,แพร่,2,2,เด่นชัย,12,2,,,
50,แพร่,2,2,ลอง,12,2,,,
51,แพร่,2,2,วังชิ้น,12,2,,,
52,ภูเก็ต,2,2,เมืองภูเก็ต,13,1,,เกาะแก้ว,
53,ภูเก็ต,2,2,เมืองภูเก็ต,13,1,,ราไวย์,
54,ภูเก็ต,2,2,เมืองภูเก็ต,13,1,,กะรน,
55,ภูเก็ต,2,2,ถลาง,13,2,,,
56,ภูเก็ต,2,2,กะทู้,13,2,,,
57,ภูเก็ต,2,2,เมืองภูเก็ต,13,2,เกาะแก้ว,,
58,ภูเก็ต,2,2,เมืองภูเก็ต,13,2,ราไวย์,,
59,ภูเก็ต,2,2,เมืองภูเก็ต,13,2,กะรน,,
60,มุกดาหาร,2,2,เมืองมุกดาหาร,14,1,มุกดาหาร,,
61,มุกดาหาร,2,2,เมืองมุกดาหาร,14,1,ศรีบุญเรือง,,
62,มุกดาหาร,2,2,เมืองมุกดาหาร,14,1,คำอาฮวน,,
63,มุกดาหาร,2,2,เมืองมุกดาหาร,14,1,ดงเย็น,,
64,มุกดาหาร,2,2,เมืองมุกดาหาร,14,1,บางทรายใหญ่,,
65,มุกดาหาร,2,2,เมืองมุกดาหาร,14,1,บ้านโคก,,
66,มุกดาหาร,2,2,เมืองมุกดาหาร,14,1,คำป่าหลาย,,
67,มุกดาหาร,2,2,เมืองมุกดาหาร,14,1,กุดแข้,,
68,มุกดาหาร,2,2,เมืองมุกดาหาร,14,1,นาสีนวน,,
69,มุกดาหาร,2,2,เมืองมุกดาหาร,14,1,โพนทราย,,
70,มุกดาหาร,2,2,ดอนตาล,14,1,,,
71,มุกดาหาร,2,2,หว้านใหญ่,14,1,,,
